# format: x, y, z, (trackId)+
413, -89.6675, 1071.97, 4873
413, -71.3542, 463.398, 474
413, -48.3191, 25.9047, 1061
413, -29.9571, 19.4308, 1061
413, -17.8536, 15.1914, 1061
413, -6.39903, 1044.48, 5439
413, 97.5, 47.9945, 446
425, -92.8907, 1078.39, 4873
425, -73.6333, 474.6, 474
425, -51.1724, 26.8347, 1061
425, -2.00011, 1049.45, 5439
425, 101.107, 51.2403, 446
437, -95.2778, 1083.69, 4873
437, -86.6515, 40.5713, 1061
437, -76.8985, 33.8022, 1061
437, -52.9451, 26.7353, 1061
437, -76.8134, 490.425, 474
437, 2.07817, 1055.9, 5439
437, 101.706, 51.6414, 446
449, -107.5, 46.7678, 1061
449, -99.407, 1091.29, 4873
449, -79.0554, 501.195, 474
449, 6.22466, 1059.98, 5439
449, 105.277, 52.4736, 446
461, -102.168, 1097.29, 4873
461, -81.8333, 515.102, 474
461, 10.8, 1065.73, 5439
461, 108.834, 1590.54, 6103
461, 107.025, 54.4554, 446
473, -105.354, 1101.94, 4873
473, -84.7094, 531.093, 474
473, 15.9878, 1070.95, 5439
473, 89.3643, 1592.94, 6103
473, 97.0906, 1592.67, 6103
473, 108.731, 55.0204, 446
485, -109.003, 1109.19, 4873
485, -87.4759, 544.149, 474
485, 21.6165, 1075.96, 5439
485, 70.7983, 1593.95, 6103
485, 109.823, 56.9051, 446
497, -112.899, 1115.72, 4873
497, -90.6727, 558.457, 474
497, 26.7248, 1081.38, 5439
497, 50.7644, 1597.54, 6103
497, 110.997, 57.0186, 446
509, -116.486, 1122.56, 4873
509, -93.7389, 572.634, 474
509, -10, 1602.67, 6103
509, 15.5926, 1599.14, 6103
509, 30.9199, 1598.47, 6103
509, 32.76, 1086.48, 5439
509, 113.804, 59.0005, 446
521, -125, 1609.98, 6103
521, -111.258, 1609.57, 6103
521, -99.076, 1609.42, 6103
521, -85.3015, 1609.38, 6103
521, -63.8055, 1608.79, 6103
521, -38.0964, 1604.03, 6103
521, -6.55487, 1602.89, 6103
521, -119.75, 1127.5, 4873
521, -98.0131, 593.234, 474
521, 37.577, 1090.94, 5439
521, 114.671, 61.1265, 446
533, -111.589, 1609.6, 6103
533, -98.0601, 1609.43, 6103
533, -39.913, 1603.79, 6103
533, -122.844, 1132.92, 4873
533, -99.4248, 595.887, 474
533, -45.7854, 1622.67, 6103
533, 44.9304, 1097.38, 5439
533, 115.893, 64.1871, 446
545, -126.509, 1139.61, 4873
545, -101.681, 610.703, 474
545, 52.1238, 1103.23, 5439
545, 116.956, 64.2771, 446
557, -130.664, 1146.53, 4873
557, -105.616, 625.951, 474
557, 57.4613, 1107.48, 5439
557, 118.975, 66.1894, 446
569, -134.229, 1151.72, 4873
569, -108.584, 639.626, 474
569, 64.59, 1113.48, 5439
569, 118.96, 67.2866, 446
581, -138.798, 1159.06, 4873
581, -112.47, 654.582, 474
581, 73.5927, 1119.99, 5439
581, 119.792, 69.3506, 446
593, -142.227, 1164.92, 4873
593, -115.573, 668.685, 474
593, 80.5078, 1124.89, 5439
593, 120.522, 68.771, 446
605, -145.887, 1170.92, 4873
605, -117.868, 677.891, 474
605, 89.742, 1131.97, 5439
605, 122.346, 71.4156, 446
617, -149.59, 1175.93, 4873
617, -121.108, 693.855, 474
617, 96.9837, 1137.67, 5439
617, 122.205, 71.9314, 446
629, -154.692, 1183.6, 4873
629, -125.751, 711.864, 474
629, 107.343, 1144.39, 5439
629, 123.979, 73.9199, 446
641, -157.09, 1188.75, 4873
641, -127.872, 721.007, 474
641, 115.364, 1149.69, 5439
641, 125.103, 74.9992, 446
653, -161.606, 1196.53, 4873
653, -131.08, 734.818, 474
653, 43.4206, 1175.1, 5439
653, 126.535, 1157.05, 5439
653, 125.736, 75.6309, 446
665, -162.435, 1199.17, 4873
665, -134.726, 748.003, 474
665, 126.316, 77.9947, 446
665, 136.793, 1162.91, 5439
677, -167.5, 1207.01, 4873
677, -139.228, 764.965, 474
677, 128.19, 78.5847, 446
677, 147.361, 1169.9, 5439
677, 167.5, 1009.61, 5871
689, -172.444, 1212.66, 4873
689, -141.468, 775.529, 474
689, 127.656, 78.6631, 446
689, 158.61, 1177.12, 5439
689, 172.124, 1004.27, 5871
701, -172.5, 1218.95, 4873
701, -144.77, 788.501, 474
701, 128.515, 80.2328, 446
701, 175, 1184.37, 5439
701, 172.335, 997.834, 5871
713, -177.5, 1224.76, 4873
713, -149.58, 806.632, 474
713, 128.57, 83.0499, 446
713, 175.009, 993.017, 5871
713, 176.496, 1186.79, 5439
725, -182.5, 1231.21, 4873
725, -152.608, 818.581, 474
725, 129.859, 85.1525, 446
725, 175.199, 986.108, 5871
740, -187.5, 1237.45, 4873
740, -157.508, 837.33, 474
740, 130.462, 86.1262, 446
740, 175.457, 979.342, 5871
758, -163.201, 855.517, 474
758, 130.999, 87.6672, 446
758, 175.701, 969.286, 5871
776, -169.959, 881.615, 474
776, 130.716, 91.044, 446
776, 175.881, 962.782, 5871
794, -174.002, 896.113, 474
794, 131.643, 92.586, 446
794, 176.024, 952.706, 5871
812, -180.761, 920.223, 474
812, 131.419, 94.1072, 446
812, 175.884, 943.803, 5871
830, -185.982, 938.966, 474
830, 130.812, 96.9374, 446
830, 175.518, 935.974, 5871
848, -192.32, 960.917, 474
848, 131.755, 98.6639, 446
848, 175.128, 926.731, 5871
866, -198.856, 981.207, 474
866, 130.827, 99.5858, 446
866, 174.87, 917.994, 5871
884, -204.634, 1000.54, 474
884, 130.4, 102.998, 446
884, 174.384, 908.937, 5871
902, -211.754, 1025.79, 474
902, 129.729, 104.438, 446
902, 173.047, 900.422, 5871
920, -218.328, 1045.19, 474
920, 129.144, 106.495, 446
920, 171.36, 892.275, 5871
938, -224.975, 1068.84, 474
938, 129.119, 108.008, 446
938, 170.098, 883.233, 5871
956, -231.173, 1088.86, 474
956, 127.585, 110.651, 446
956, 169.372, 873.919, 5871
974, -237.496, 1107.58, 474
974, 126.571, 112.666, 446
974, 166.97, 864.501, 5871
992, -243.684, 1126.34, 474
992, 125.193, 114.33, 446
992, 165.184, 857.455, 5871
1010, -250.768, 1150.14, 474
1010, 123.852, 117.322, 446
1010, 163.543, 846.802, 5871
1028, -258.825, 1172.59, 474
1028, 122.797, 118.538, 446
1028, 160.644, 837.265, 5871
1046, -265.356, 1193.8, 474
1046, 122.388, 120.481, 446
1046, 159.638, 829.91, 5871
1064, -271.113, 1212.33, 474
1064, 119.613, 123.241, 446
1064, 156.253, 820.043, 5871
1064, 268.959, 89.8435, 408
1082, -277.343, 1231.65, 474
1082, 118.925, 124.311, 446
1082, 154.361, 811.437, 5871
1082, 262.578, 90.9075, 408
1100, -282.439, 1247.54, 474
1100, 115.646, 128.354, 446
1100, 150.514, 801.507, 5871
1100, 252.936, 92.7328, 408
1118, -287.5, 1266.68, 474
1118, 114.756, 128.727, 446
1118, 149.161, 793.432, 5871
1118, 243.616, 93.142, 408
1136, 111.734, 131.467, 446
1136, 145.15, 783.932, 5871
1136, 230.139, 94.8641, 408
1154, 109.815, 133.317, 446
1154, 141.253, 773.913, 5871
1154, 223.334, 96.0433, 408
1172, 107.544, 134.047, 446
1172, 139.181, 766.029, 5871
1172, 211.589, 97.022, 408
1190, 104.687, 137.174, 446
1190, 134.848, 756.499, 5871
1190, 198.8, 98.9321, 408
406.418, 122.063, 1022.63, 4874
399.847, 133.445, 28.4996, 448
397.603, 137.332, 1142.29, 5871
365.248, 193.372, 1574.16, 6103
360.128, 202.24, 1571.46, 6103
369.294, 186.364, 36.6177, 430
342.629, 232.549, 549.717, 395
323.489, 265.7, 40.7287, 408
309.639, 289.689, 607.506, 711
418.979, 124.307, 1024, 4874
410.149, 139.601, 1135.98, 5871
410.611, 138.8, 29.1742, 448
386.353, 180.817, 1576.69, 6103
380.374, 191.172, 37.6021, 430
351.478, 241.223, 561.362, 395
334.359, 270.872, 41.3944, 408
321.529, 293.096, 600.441, 711
428.652, 131.553, 1025.02, 4874
422.626, 141.991, 1130, 5871
421.07, 144.685, 28.7613, 448
408.156, 167.053, 1581.53, 6103
403.219, 175.604, 1578.88, 6103
391.637, 195.666, 40.6099, 430
359.609, 251.14, 578.777, 395
345.661, 275.298, 42.4683, 408
335.1, 293.589, 589.63, 711
441.346, 133.567, 1587.38, 6103
440.356, 135.281, 1585.69, 6103
438.882, 137.835, 1026.28, 4874
434.985, 144.584, 1124.41, 5871
431.732, 150.218, 30.431, 448
402.552, 200.76, 40.8294, 430
367.123, 262.124, 597.271, 395
356.384, 280.724, 42.6059, 408
349.784, 292.156, 576.926, 711
455.488, 133.072, 1587.54, 6103
449.074, 144.18, 1026.95, 4874
447.772, 146.436, 1118.01, 5871
441.989, 156.453, 30.9825, 448
413.861, 205.171, 41.4045, 430
375.192, 272.148, 612.919, 395
368.038, 284.539, 43.4512, 408
363.368, 292.629, 566.155, 711
459.963, 149.32, 1112.61, 5871
458.831, 151.282, 1027.92, 4874
452.486, 162.271, 31.3382, 448
425.285, 209.385, 43.564, 430
382.839, 282.904, 630.493, 395
378.045, 291.206, 554.486, 711
378.724, 290.031, 44.1966, 408
472.67, 151.312, 1106.59, 5871
468.603, 158.355, 1028.55, 4874
463.041, 167.989, 32.7451, 448
436.654, 213.694, 44.0653, 430
391.644, 291.653, 542.92, 711
390.574, 293.505, 645.693, 395
390.254, 294.06, 45.7203, 408
485.568, 152.971, 1099.89, 5871
478.657, 164.942, 1029.21, 4874
473.382, 174.078, 34.1048, 448
447.826, 218.343, 45.2477, 430
406.272, 290.317, 531.654, 711
401.919, 297.855, 46.5543, 408
397.533, 305.453, 666.8, 395
498.343, 154.845, 1094.15, 5871
488.704, 171.54, 1029.79, 4874
483.78, 180.068, 35.6138, 448
459.38, 222.33, 45.0283, 430
419.921, 290.675, 520.352, 711
413.251, 302.228, 46.1777, 408
405.543, 315.579, 679.125, 395
511.147, 156.668, 1088.02, 5871
499.021, 177.67, 1030.68, 4874
493.959, 186.438, 35.3877, 448
470.872, 226.425, 47.5039, 430
434.5, 289.425, 509.91, 711
424.36, 306.987, 47.4458, 408
412.011, 328.376, 700.544, 395
524.108, 158.218, 1081.71, 5871
509.369, 183.748, 1031.3, 4874
504.197, 192.706, 36.7914, 448
481.529, 231.968, 48.3735, 430
448.607, 288.989, 497.795, 711
436.511, 309.94, 48.1239, 408
419.291, 339.767, 717.227, 395
536.999, 159.891, 1075.82, 5871
519.819, 189.646, 1032.14, 4874
514.231, 199.325, 36.2021, 448
493.176, 235.794, 49.0496, 430
462.904, 288.227, 486.53, 711
448.196, 313.702, 48.0346, 408
426.551, 351.193, 733.724, 395
549.798, 161.721, 1069.95, 5871
530.271, 195.544, 1032.64, 4874
524.326, 205.841, 36.9142, 448
504.63, 239.955, 49.9037, 430
477, 287.812, 475.646, 711
460.378, 316.603, 50.1953, 408
432.63, 364.663, 754.105, 395
561.373, 165.674, 1064.82, 5871
540.89, 201.151, 1033.13, 4874
534.158, 212.811, 38.1509, 448
515.561, 245.023, 52.9725, 430
489.531, 290.108, 470.373, 711
471.656, 321.068, 50.2362, 408
439.905, 376.063, 770.566, 395
574.297, 167.289, 1058.61, 5871
553.592, 203.151, 1034.1, 4874
544.158, 219.491, 38.3891, 448
527.419, 248.483, 53.9466, 430
483.477, 324.594, 50.9971, 408
446.106, 389.322, 789.311, 395
587.214, 168.916, 1052.96, 5871
562.002, 212.583, 1034.27, 4874
554.083, 226.3, 39.9694, 448
538.721, 252.908, 53.8659, 430
495.974, 326.948, 52.0349, 408
452.898, 401.557, 805.331, 395
597.695, 174.761, 1048, 5871
573.605, 216.488, 1034.73, 4874
563.665, 233.703, 40.7089, 448
549.478, 258.277, 54.5774, 430
508.041, 330.048, 52.1624, 408
459.616, 413.922, 824.136, 395
583.778, 222.867, 1035.4, 4874
573.702, 240.318, 40.4798, 448
562.202, 260.238, 55.5729, 430
520.243, 332.912, 52.9582, 408
464.212, 429.961, 845.301, 395
596.392, 225.018, 1035.66, 4874
582.835, 248.5, 42.6338, 430
573.845, 264.071, 58.0904, 430
533.004, 334.809, 54.4165, 408
469.768, 444.338, 866.653, 395
