# format: x, y, z, (trackId)+
413, -97.5, 1175.6, 783
413, -95.107, 1049.48, 630
413, -87.3081, 707.174, 655
413, -74.2316, 1540.63, 6515
413, -66.3083, 847.272, 294
413, -4.26522, 52.5972, 584
413, 3.44348, 13.2388, 7649
413, 6.00314, 195.795, 555
413, 12.5, 23.4346, 7649
413, 22.2408, 4.20864, 437
413, 24.5121, 710.877, 798
413, 25.9134, 371.686, 539
413, 30.5905, 683.541, 2496
413, 32.7876, 1150.84, 620
413, 32.6239, 1130.97, 620
413, 45.1557, 1075.86, 499
413, 42.6117, 935.781, 8606
413, 43.4361, 302.81, 444
413, 58.2014, 266.529, 5918
413, 85.8141, 1275.21, 8504
413, 97.5, 314.446, 490
413, 97.5, 54.0044, 546
425, -102.5, 1210.58, 783
425, -99.5604, 1075.53, 630
425, -92.5, 734.752, 655
425, -92.5, 720.407, 655
425, -86.4761, 727.567, 655
425, -63.3776, 1540.76, 6515
425, -69.5137, 883.358, 294
425, -62.5, 862.196, 294
425, -1.52875, 54.3778, 584
425, 6.87025, 200.215, 555
425, 21.7424, 680.626, 2496
425, 17.5, 19.8191, 437
425, 23.34, 4.04936, 437
425, 29.8643, 740.244, 798
425, 28.6442, 385.342, 539
425, 32.1863, 1167.16, 620
425, 44.9124, 308.671, 444
425, 48.3862, 1073.92, 499
425, 44.5767, 947.936, 8606
425, 60.2679, 269.298, 5918
425, 85.1272, 1271.11, 8504
425, 101.124, 56.5882, 546
425, 102.5, 322.974, 490
437, -102.5, 1101.86, 630
437, -85.8454, 747.088, 655
437, -70.8903, 893.015, 294
437, -57.913, 1541.08, 6515
437, 8.99408, 677.814, 2496
437, -0.434141, 54.5819, 584
437, 7.49476, 207.788, 555
437, 25.3063, 3.95301, 437
437, 31.0926, 1225.39, 620
437, 32.0022, 1194.95, 620
437, 34.3528, 762.002, 798
437, 31.2145, 392.089, 539
437, 46.7259, 316.642, 444
437, 46.6155, 966.008, 8606
437, 57.465, 1067.57, 499
437, 64.5058, 278.519, 5918
437, 84.7108, 1266.93, 8504
437, 101.959, 59.348, 546
437, 102.5, 331.567, 490
449, -107.5, 1136.44, 630
449, -85.5244, 766.507, 655
449, -74.2918, 929.685, 294
449, -34.1983, 1541.11, 6515
449, -5.66381, 674.351, 2496
449, 0.871811, 57.1129, 584
449, 9.02208, 214.478, 555
449, 30.5168, 1228.43, 620
449, 26.9636, 3.65676, 437
449, 34.3548, 404.604, 539
449, 37.888, 778.699, 798
449, 49.13, 976.334, 8606
449, 49.8449, 326.637, 444
449, 65.7873, 1062.65, 499
449, 67.5712, 282.494, 5918
449, 84.2268, 1262.59, 8504
449, 105.602, 60.4385, 546
449, 107.5, 340.19, 490
461, -85.0746, 790.22, 655
461, -76.4353, 955.335, 294
461, -21.6904, 670.833, 2496
461, -15.6925, 1541.58, 6515
461, -4.52716, 1541.48, 6515
461, 3.48913, 56.482, 584
461, 9.84015, 219.824, 555
461, 29.5685, 3.63058, 437
461, 30.3493, 1281.13, 620
461, 36.3671, 414.883, 539
461, 43.9787, 807.188, 798
461, 50.1107, 989.211, 8606
461, 51.4882, 337.197, 444
461, 69.125, 1059.85, 499
461, 70.8033, 289.264, 5918
461, 83.3988, 1258.14, 8504
461, 107.569, 62.3915, 546
461, 110.974, 352.653, 490
473, -84.0154, 810.796, 655
473, -78.8988, 975.312, 294
473, -37.1525, 667.545, 2496
473, 14.7552, 1541.06, 6515
473, 27.8943, 1541.22, 6515
473, 41.2254, 1541.23, 6515
473, 59.3484, 1541.27, 6515
473, 78.638, 1541.35, 6515
473, 88.2809, 1540.3, 6515
473, 98.1326, 1540.55, 6515
473, 110.345, 1540.96, 6515
473, 4.33225, 59.0324, 584
473, 11.4391, 224.527, 555
473, 29.5487, 1316.35, 620
473, 29.9393, 1294.43, 620
473, 30.0478, 3.08105, 437
473, 40.4159, 428.966, 539
473, 48.193, 826.515, 798
473, 52.8923, 1004.55, 8606
473, 53.6979, 345.867, 444
473, 75.4023, 296.267, 5918
